Group,Item,Hit percentage,Item Color
All,fan,3.6999999999999997,#f7d794
All,life,2.4,#f3a683
All,account,2.4,#ea8685
All,world,2.1,#cf6a87
All,lover,2.0,#b53471
All,free,2.0,#833471
All,music,1.7999999999999998,#786fa6
All,live,1.5,#5758bb
All,girl,1.5,#778beb
All,enthusiast,1.5,#596275
All,maga,1.3,#1b1464
All,black,1.3,#0652dd
All,american,1.3,#1289a7
All,mom,1.2,#63cdda
All,pronouns,1.0999999999999999,#12cbc4
All,artist,1.0999999999999999,#fda7df
All,personal,1.0,#d980fa
All,art,1.0,#9980fa
All,things,0.8999999999999999,#9F85A7
All,shit,0.8999999999999999,#A73D53
All,people,0.8999999999999999,#D412BA
All,dni,0.8999999999999999,#BF7321
All,politics,0.8,#600B36
All,news,0.8,#AD2044
All,human,0.8,#55E1AC
All,good,0.8,#538427
All,follow,0.8,#7693A2
All,cat,0.8,#435F50
All,video,0.7000000000000001,#A36E93
All,sports,0.7000000000000001,#E0A6AA
All,rights,0.7000000000000001,#48AE65
All,nsfw,0.7000000000000001,#B068BE
All,dad,0.7000000000000001,#65CC6D
All,bitch,0.7000000000000001,#61576D
All,anime,0.7000000000000001,#BE91A7
All,views,0.6,#98D159
All,loves,0.6,#315F38
All,gay,0.6,#781E7B
All,eng,0.6,#750A3D
All,editor,0.6,#6B5EA8
All,christian,0.6,#6A6D46
All,block,0.6,#99407C
All,working,0.5,#B1711E
All,won,0.5,#52C8D8
All,student,0.5,#683F74
All,professional,0.5,#816D9C
All,priv,0.5,#4B4462
All,play,0.5,#4612E2
All,parody,0.5,#2A1357
All,network,0.5,#09CB90
All,living,0.5,#6F6485
All,lawyer,0.5,#4B1477
All,journalist,0.5,#6B4867
All,heart,0.5,#AA526A
All,freepalestine,0.5,#918926
All,father,0.5,#979050
All,dms,0.5,#55964B
All,data,0.5,#4B288C
All,daily,0.5,#84323F
All,conservative,0.5,#45579E
All,assistant,0.5,#CB7385
All,thoughts,0.4,#196801
All,spanish,0.4,#458F6A
All,retweets,0.4,#6508B2
All,party,0.4,#CADD92
All,leftist,0.4,#607E9D
All,junkie,0.4,#1C1C72
All,gonna,0.4,#581C6B
All,friend,0.4,#4350B0
All,elon,0.4,#2B28E3
All,draw,0.4,#EBF2A4
All,doll,0.4,#28D84E
All,days,0.4,#AD8064
All,crime,0.4,#3CB1AD
All,ceo,0.4,#321850
All,army,0.4,#A951B1
All,aries,0.4,#D4B76E
All,alum,0.4,#AB982F
All,acct,0.4,#944D26
All,wanna,0.3,#EE5CD7
All,university,0.3,#047977
All,tudo,0.3,#BB0246
All,trans,0.3,#834227
All,toxic,0.3,#256F41
All,stream,0.3,#4D3D24
All,steam,0.3,#3F7A09
All,software,0.3,#D2279F
All,skin,0.3,#424E7F
All,share,0.3,#2C5912
All,semi,0.3,#325044
All,screaming,0.3,#C63538
All,science,0.3,#5F1887
All,save,0.3,#117599
All,rts,0.3,#7C4B4E
All,project,0.3,#5449BB
All,poet,0.3,#8E0E74
All,podcast,0.3,#5F3E52
All,neo,0.3,#6A1929
All,nct,0.3,#86C03D
All,multifandom,0.3,#3E335C
