Group,Item,Total Hits,Positive Hits,Neutral Hits,Negative Hits,Item Color
All,🚨,11321,214,7624,3483,#f7d794
All,😭,4594,204,2485,1905,#f3a683
All,👇,3899,329,2768,802,#ea8685
All,🧵,3647,42,3086,519,#cf6a87
All,❤,1867,490,1310,67,#b53471
All,😂,1724,183,1268,273,#833471
All,🇺🇸,1413,46,591,776,#786fa6
All,👀,1103,55,663,385,#5758bb
All,🤔,1100,74,415,611,#778beb
All,‼,965,18,679,268,#596275
All,💀,765,15,407,343,#1b1464
All,🚀,733,345,359,29,#0652dd
All,📰,733,320,307,106,#1289a7
All,🐦,701,315,386,0,#63cdda
All,😍,698,42,640,16,#12cbc4
All,😳,697,10,105,582,#fda7df
All,💯,678,15,629,34,#d980fa
All,💫,672,5,639,28,#9980fa
All,🥰,670,30,625,15,#161B87
All,❌,667,315,279,73,#E95D03
All,👏,648,16,608,24,#E25FB4
All,✊,646,338,278,30,#4A8151
All,🔥,645,72,456,117,#412C91
All,🌐,634,319,310,5,#5E416D
All,⚖,625,318,282,25,#29CA7E
All,🌟,622,411,177,34,#647608
All,🤧,607,0,598,9,#951F45
All,📈,606,316,286,4,#0B0B75
All,✨,590,436,128,26,#EFBAB1
All,🎭,585,315,262,8,#435F5A
All,📉,576,320,254,2,#86576C
All,🔫,490,9,444,37,#8ACEAB
All,🔽,482,0,477,5,#310182
All,🎥,471,7,53,411,#555437
All,🤣,454,52,172,230,#803822
All,➡,431,4,196,231,#88472D
All,🆘,417,5,387,25,#CFE19E
All,📜,409,157,228,24,#2D5C51
All,💵,400,159,238,3,#2A5A64
All,👥,387,158,229,0,#2B5344
All,🔴,384,2,127,255,#28BDA4
All,✅,374,9,239,126,#0EE4E7
All,⚠,368,1,265,102,#384458
All,🔗,276,160,86,30,#96C4D7
All,⬇,246,5,102,139,#41B17C
All,🙏,245,66,107,72,#8A593B
All,🎧,241,1,238,2,#4BA491
All,👉,240,47,115,78,#2D4AAB
All,🤢,235,1,224,10,#70262A
All,😅,233,15,118,100,#ECAC07
All,📝,228,158,60,10,#316D68
All,🧐,224,5,54,165,#2C37B4
All,🛒,218,160,57,1,#173056
All,📷,209,5,196,8,#202A83
All,💜,203,142,20,41,#D1B471
All,🤷,201,2,62,137,#A378A2
All,😔,200,5,35,160,#CCDA29
All,🐐,200,2,9,189,#598467
All,🤯,198,15,76,107,#B625B3
All,🧶,194,7,147,40,#A3A371
All,🥵,187,17,39,131,#277552
All,💔,178,4,18,156,#AB545C
All,📸,165,11,131,23,#652C70
All,♂,155,9,43,103,#7722D9
All,🕊,151,5,108,38,#AF7BC9
All,🙄,139,3,11,125,#5FC109
All,🇮🇹,136,20,80,36,#7A11E0
All,📺,132,3,55,74,#598EC5
All,🤬,130,1,11,118,#CC085C
All,⚡,130,1,48,81,#8C588C
All,♀,124,4,28,92,#338E84
All,📌,107,0,28,79,#A25608
All,🌸,107,62,45,0,#21415E
All,😲,106,2,66,38,#297E71
All,💰,106,18,75,13,#DBE113
All,😩,105,14,28,63,#3993E1
All,✌,105,76,17,12,#DA6C03
All,⤵,104,3,74,27,#B4C284
All,👍,101,14,61,26,#18E4B3
All,🐾,99,1,98,0,#75BE1F
All,🤦‍♂️,97,1,19,77,#04560B
All,☝,94,7,80,7,#905474
All,▶,94,4,45,45,#9A4B48
All,😎,92,10,21,61,#2DB658
All,❗,92,4,23,65,#314850
All,🤡,91,2,25,64,#028A5A
All,🙂,90,20,47,23,#1A8123
All,📊,90,1,89,0,#0A0B75
All,⛓,90,1,78,11,#043254
All,🤨,89,2,33,54,#4E272C
All,🔓,89,0,88,1,#285F88
All,💍,89,0,86,3,#40AFA0
All,😮,88,7,35,46,#475E5C
All,😆,88,4,46,38,#36693C
All,🎄,87,9,67,11,#639B5B
All,😱,83,2,33,48,#573D2F
All,👓,83,5,76,2,#B06CB4
All,🏥,82,0,20,62,#6D88AE
All,🗣,81,5,49,27,#7A5549
All,✍,80,5,23,52,#74899D
