Fecha,"Sentiment"
09/12/24 00:00:00,'-100
09/12/24 01:00:00,'-100
09/12/24 02:00:00,'-100
09/12/24 03:00:00,'-71.429
09/12/24 04:00:00,'-100
09/12/24 05:00:00,'-75
09/12/24 06:00:00,'-100
09/12/24 07:00:00,'-86.585
09/12/24 08:00:00,'-94.958
09/12/24 09:00:00,'-97.895
09/12/24 10:00:00,'-95.189
09/12/24 11:00:00,'-87.5
09/12/24 12:00:00,'-100
09/12/24 13:00:00,'-83.381
09/12/24 14:00:00,'-69.667
09/12/24 15:00:00,'-61.041
09/12/24 16:00:00,'-48.993
09/12/24 17:00:00,'-48.796
09/12/24 18:00:00,'-61.4
09/12/24 19:00:00,'-4.805
09/12/24 20:00:00,'-66.266
09/12/24 21:00:00,'-67.276
09/12/24 22:00:00,'-69.456
09/12/24 23:00:00,'-74.338
10/12/24 00:00:00,'-73.876
10/12/24 01:00:00,'-37.564
10/12/24 02:00:00,'-36.159
10/12/24 03:00:00,'-73.361
10/12/24 04:00:00,'-77.956
10/12/24 05:00:00,'-78.333
10/12/24 06:00:00,'-79.308
10/12/24 07:00:00,'-83.599
10/12/24 08:00:00,'-83.059
10/12/24 09:00:00,'-80.686
10/12/24 10:00:00,'-82.266
10/12/24 11:00:00,'-82.744
10/12/24 12:00:00,'-81.012
10/12/24 13:00:00,'-82.376
10/12/24 14:00:00,'-84.621
10/12/24 15:00:00,'-82.982
10/12/24 16:00:00,'-82.205
10/12/24 17:00:00,'-82.884
10/12/24 18:00:00,'-82.298
10/12/24 19:00:00,'-17.162
10/12/24 20:00:00,'-79.889
10/12/24 21:00:00,'-76.218
10/12/24 22:00:00,'-77.185
10/12/24 23:00:00,'-71.49
11/12/24 00:00:00,'-73.736
11/12/24 01:00:00,'-74.729
11/12/24 02:00:00,'-77.501
11/12/24 03:00:00,'-79.848
11/12/24 04:00:00,'-81.515
11/12/24 05:00:00,'-79.708
11/12/24 06:00:00,'-81.499
11/12/24 07:00:00,'-82.405
11/12/24 08:00:00,'-80.47
11/12/24 09:00:00,'-82.371
11/12/24 10:00:00,'-79.427
11/12/24 11:00:00,'-79.451
11/12/24 12:00:00,'-83.054
11/12/24 13:00:00,'-83.256
11/12/24 14:00:00,'-80.636
11/12/24 15:00:00,'-83.368
11/12/24 16:00:00,'-81.012
11/12/24 17:00:00,'-81.172
11/12/24 18:00:00,'-84.809
11/12/24 19:00:00,'-86.497
11/12/24 20:00:00,'-83.012
11/12/24 21:00:00,'-86.686
11/12/24 22:00:00,'-83.375
11/12/24 23:00:00,'-89.109
12/12/24 00:00:00,'-85.805
12/12/24 01:00:00,'-86.559
12/12/24 02:00:00,'-80.672
12/12/24 03:00:00,'-83.974
12/12/24 04:00:00,'-87.072
12/12/24 05:00:00,'-86.728
12/12/24 06:00:00,'-86.136
12/12/24 07:00:00,'-84.137
12/12/24 08:00:00,'-85.614
12/12/24 09:00:00,'-83.333
12/12/24 10:00:00,n/a
12/12/24 11:00:00,n/a
12/12/24 12:00:00,n/a
12/12/24 13:00:00,n/a
12/12/24 14:00:00,n/a
12/12/24 15:00:00,n/a
12/12/24 16:00:00,n/a
12/12/24 17:00:00,n/a
12/12/24 18:00:00,n/a
12/12/24 19:00:00,n/a
12/12/24 20:00:00,n/a
12/12/24 21:00:00,n/a
12/12/24 22:00:00,n/a
12/12/24 23:00:00,n/a
